0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.98689	-0.770756	0.222693	-67.2776	95.5337	1259.44	-2.08433	2.83746	0.115674	48.8038	98.6732	1262.5	-3.97045	-0.428253	0.0338044	-55.7132	162.534	1268.87	-4.04754	3.2011	-0.0722416	61.1234	164.933	1269.14	
1.35623	-0.127234	0.146926	-9.05407	-43.0635	210.317	1.35299	0.502173	0.143556	10.1153	-43.0677	210.223	1.17247	-0.134205	0.130817	-9.32636	-38.8708	209.435	1.16775	0.495975	0.127694	9.85927	-38.8433	209.608	
1.36721	-0.132869	0.147256	-9.1628	-43.1332	210.129	1.36452	0.501734	0.143462	10.0325	-43.1411	210.09	1.18218	-0.146302	0.131374	-9.64236	-38.9622	209.406	1.17807	0.486718	0.127812	9.49733	-38.9513	209.429	
1.37809	-0.134492	0.147717	-9.14637	-43.1935	210.017	1.37595	0.502962	0.143499	9.99905	-43.2078	209.986	1.19165	-0.150447	0.131967	-9.70234	-39.0473	209.409	1.18813	0.482876	0.127984	9.30615	-39.0467	209.377	
