0.235941	-0.12166	0.0652262	-8.24413	-7.12929	156.712	
0.237127	-0.12167	0.0652472	-8.24571	-7.16451	156.777	
0.238294	-0.121682	0.0652686	-8.24732	-7.19901	156.84	
0.239444	-0.121695	0.0652902	-8.24894	-7.23281	156.902	
0.240574	-0.121711	0.065312	-8.25056	-7.2659	156.962	
0.241686	-0.121728	0.065334	-8.2522	-7.2983	157.021	
0.242779	-0.121746	0.0653562	-8.25383	-7.33002	157.079	
0.243853	-0.121765	0.0653785	-8.25547	-7.36107	157.134	
0.244908	-0.121786	0.0654009	-8.2571	-7.39144	157.189	
0.245944	-0.121807	0.0654233	-8.25871	-7.42117	157.242	
0.246961	-0.121829	0.0654458	-8.26032	-7.45025	157.294	
0.247959	-0.121852	0.0654683	-8.26192	-7.47869	157.344	
0.248939	-0.121875	0.0654907	-8.2635	-7.50651	157.393	
0.2499	-0.121899	0.0655131	-8.26506	-7.5337	157.441	
0.250842	-0.121922	0.0655355	-8.2666	-7.56029	157.487	
0.251765	-0.121947	0.0655577	-8.26813	-7.58629	157.533	
0.25267	-0.121971	0.0655798	-8.26963	-7.6117	157.577	
0.253557	-0.121996	0.0656018	-8.27111	-7.63653	157.62	
0.254426	-0.12202	0.0656237	-8.27257	-7.6608	157.662	
0.255277	-0.122045	0.0656454	-8.274	-7.68451	157.703	
0.256111	-0.12207	0.0656669	-8.27541	-7.70767	157.743	
0.256926	-0.122094	0.0656882	-8.2768	-7.7303	157.782	
0.257725	-0.122119	0.0657094	-8.27816	-7.7524	157.82	
0.258506	-0.122143	0.0657303	-8.27949	-7.77398	157.857	
0.259271	-0.122167	0.065751	-8.2808	-7.79506	157.893	
0.260019	-0.122191	0.0657715	-8.28209	-7.81564	157.928	
0.26075	-0.122215	0.0657917	-8.28335	-7.83573	157.962	
0.261466	-0.122239	0.0658117	-8.28458	-7.85535	157.995	
0.262166	-0.122262	0.0658314	-8.28579	-7.87449	158.027	
0.262849	-0.122285	0.0658509	-8.28698	-7.89318	158.059	
0.263518	-0.122308	0.0658702	-8.28813	-7.91142	158.089	
0.264172	-0.122331	0.0658892	-8.28927	-7.92922	158.119	
0.26481	-0.122353	0.0659079	-8.29038	-7.94659	158.148	
