0.864399	0.000589918	0.501368	-0.0380159	
0.86426	0.000700854	0.501594	-0.0381843	
0.864123	0.000805886	0.501817	-0.0383464	
0.863989	0.000904757	0.502035	-0.0385018	
0.863859	0.000997211	0.502249	-0.0386505	
0.863731	0.00108299	0.502457	-0.0387922	
0.863606	0.00116184	0.50266	-0.0389267	
0.863486	0.00123351	0.502858	-0.0390537	
0.863369	0.00129774	0.503049	-0.0391731	
0.863256	0.00135428	0.503233	-0.0392846	
0.863148	0.00140289	0.503411	-0.0393881	
0.863044	0.00144331	0.503582	-0.0394833	
0.862945	0.00147833	0.503743	-0.0395712	
0.862853	0.00151331	0.503895	-0.0396533	
0.862763	0.00152656	0.504044	-0.0397181	
0.862679	0.00153121	0.504183	-0.039776	
0.862602	0.00152642	0.504311	-0.0398257	
0.862531	0.00151159	0.504429	-0.0398666	
0.862468	0.00148372	0.504535	-0.0398969	
0.862411	0.00143868	0.504631	-0.0399158	
0.862364	0.00139636	0.504709	-0.0399331	
0.862325	0.00134173	0.504775	-0.0399381	
0.862292	0.00128466	0.504833	-0.0399267	
0.862266	0.00122954	0.50488	-0.0399041	
0.862242	0.00115754	0.504924	-0.0398617	
0.862224	0.00107773	0.504959	-0.0398088	
0.862212	0.000982068	0.504985	-0.0397422	
0.862209	0.000896859	0.504996	-0.0396755	
0.862212	0.000805439	0.504997	-0.0395961	
0.862221	0.000710195	0.504989	-0.0395054	
0.862235	0.000612994	0.504973	-0.0394045	
0.862255	0.00051854	0.504947	-0.0392953	
0.862285	0.000456517	0.504904	-0.0391903	
0.862302	0.000360805	0.504886	-0.0390468	
0.86233	0.000256196	0.50485	-0.0388982	
0.862365	0.000150394	0.504803	-0.0387436	
0.862406	4.43962e-05	0.504744	-0.0385814	
0.862454	-6.08876e-05	0.504677	-0.038411	
0.862506	-0.000164572	0.504601	-0.0382319	
0.862563	-0.000266568	0.504518	-0.0380439	
0.862623	-0.000366297	0.504429	-0.037847	
0.862688	-0.000463338	0.504333	-0.0376412	
0.862756	-0.000557292	0.504233	-0.0374267	
0.862827	-0.000647793	0.504128	-0.0372034	
0.862901	-0.00073449	0.504018	-0.0369716	
0.862977	-0.000817053	0.503905	-0.0367314	
0.863056	-0.000895169	0.503788	-0.0364829	
0.863137	-0.000968542	0.503668	-0.0362261	
0.863219	-0.00103689	0.503546	-0.0359614	
0.863302	-0.00109995	0.503422	-0.0356887	
0.863387	-0.00115746	0.503296	-0.0354081	
0.863473	-0.00121148	0.50317	-0.0351188	
0.863559	-0.00126345	0.503043	-0.0348209	
0.863646	-0.00131453	0.502915	-0.0345146	
0.863734	-0.00136679	0.502785	-0.0341999	
0.863827	-0.0013929	0.502646	-0.0338914	
0.863918	-0.00140422	0.50251	-0.0335752	
0.864004	-0.00142401	0.502385	-0.033239	
0.864092	-0.00142871	0.502256	-0.0329036	
0.864178	-0.00142577	0.50213	-0.0325601	
0.864263	-0.00140908	0.502006	-0.0322123	
0.864345	-0.00138399	0.501887	-0.031859	
0.864389	-0.0012799	0.501833	-0.0315165	
0.864452	-0.00123325	0.501749	-0.0311499	
0.864516	-0.00118547	0.501661	-0.0307775	
0.864583	-0.00113661	0.501569	-0.0303995	
0.864651	-0.00108391	0.501475	-0.0300192	
